----------------------------------------------------------
-- This is the Insert Script for the Parking_Type Table --
----------------------------------------------------------
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT001', 'No Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT002', 'Street Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT003', 'Garage Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT004', 'Parking Lot');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT005', 'Parking Ramp');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT006', 'Metered Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT007', 'Valet Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT008', 'Fringe Parking');

-----------------------------------------------------------
-- This is the Insert Script for the Private_Owner Table --
-----------------------------------------------------------
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('1', 'Alanah', 'Hamlington', '2 Loeprich Road', 'Savannah', 'GA', '31405', '9123375945');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('12', 'Welsh', 'Corder', '2985 Old Shore Way', 'Kansas City', 'MO', '64101', '8166860300');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('13', 'Cirstoforo', 'Dalliwater', '14373 Stang Parkway', 'Austin', 'TX', '78744', '3611068222');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('14', 'Gwynne', 'Harden', '64 Cottonwood Trail', 'Kansas City', 'MO', '64130', '8162374205');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('15', 'Talyah', 'Iacovo', '4 Mendota Avenue', 'Newport News', 'VA', '23612', '7578708911');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('16', 'Massimo', 'Eliet', '789 Oriole Avenue', 'Mesa', 'AZ', '85210', '6027945243');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('17', 'Carny', 'Girogetti', '3220 Oak Valley Way', 'Philadelphia', 'PA', '19172', '2159841483');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('18', 'Aurea', 'Maharry', '66236 Independence Hill', 'Lancaster', 'PA', '17622', '7178111206');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('19', 'Ursula', 'Pigne', '2 Center Trail', 'Anniston', 'AL', '36205', '2568162934');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('20', 'Ilise', 'Raraty', '1386 Lighthouse Bay Court', 'Nashville', 'TN', '37240', '6159001089');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('21', 'Daloris', 'O''Monahan', '66782 Continental Center', 'Springfield', 'IL', '62723', '2175497955');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('22', 'Sarah', 'Askell', '87301 Sage Park', 'Appleton', 'WI', '54915', '9205462959');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('23', 'Evangelina', 'Toffano', '65249 Miller Park', 'Albuquerque', 'NM', '87105', '5052822467');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('24', 'Rosie', 'Klimov', '22529 Esch Place', 'Asheville', 'NC', '28805', '8285156614');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('25', 'Simone', 'Biesterfeld', '42790 Straubel Alley', 'Utica', 'NY', '13505', '3159115219');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('26', 'Blisse', 'Boundey', '96 Schurz Lane', 'Harrisburg', 'PA', '17126', '7173838733');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('27', 'Franky', 'Bruff', '692 Eagle Crest Avenue', 'Seattle', 'WA', '98166', '3608618119');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('28', 'Darya', 'Sibthorpe', '6 Bay Junction', 'Richmond', 'VA', '23225', '7579078394');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('29', 'Gregorio', 'Fieldsend', '85 Anderson Alley', 'El Paso', 'TX', '79928', '9155598867');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('30', 'Walliw', 'Moran', '26 Corry Terrace', 'Frankfort', 'KY', '40618', '5029027556');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('31', 'Shelly', 'Fudge', '845 Derek Drive', 'Louisville', 'KY', '40225', '5025373222');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('32', 'Heidie', 'Creeghan', '8 Blue Bill Park Way', 'Fort Collins', 'CO', '80525', '9703520203');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('33', 'Olva', 'Ghelardi', '12622 Sunbrook Junction', 'Los Angeles', 'CA', '90015', '3105380598');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('34', 'Henri', 'Feander', '9 Coleman Plaza', 'Cambridge', 'MA', '02142', '6179135657');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('35', 'Eleni', 'Cruden', '0 Kingsford Circle', 'Herndon', 'VA', '22070', '7573957858');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('36', 'Anselma', 'Hassett', '55 Independence Road', 'Monroe', 'LA', '71208', '3184012957');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('37', 'Garv', 'MacTeague', '69345 Hanover Road', 'New Haven', 'CT', '06533', '2037743215');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('38', 'Flory', 'Dupree', '27834 Grasskamp Avenue', 'Ann Arbor', 'MI', '48107', '7343894837');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('39', 'Reinold', 'Pegg', '2273 Havey Trail', 'Anchorage', 'AK', '99517', '9075739651');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('40', 'Alejandrina', 'Turfitt', '43 Crescent Oaks Junction', 'Lexington', 'KY', '40510', '8592589258');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('41', 'Alicea', 'Drinkeld', '84 Blaine Avenue', 'El Paso', 'TX', '79999', '9152196280');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('42', 'Jory', 'Rickersy', '303 Forest Point', 'Silver Spring', 'MD', '20910', '3019767572');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('43', 'Kai', 'Zisneros', '98659 Blackbird Road', 'Houston', 'TX', '77276', '7133697973');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('44', 'Nataline', 'Van Brug', '64 Autumn Leaf Hill', 'Portland', 'OR', '97240', '9718538106');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('45', 'Ofella', 'Tyre', '343 Canary Alley', 'Winston Salem', 'NC', '27150', '3362700113');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('46', 'Winnie', 'Saintsbury', '67 Basil Terrace', 'Columbus', 'OH', '43204', '6143682644');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('47', 'Ann', 'Hanaby', '63905 Brentwood Crossing', 'Seattle', 'WA', '98185', '2062314344');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('48', 'Carie', 'Gerardin', '365 Arapahoe Alley', 'Great Neck', 'NY', '11024', '5167558440');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('49', 'Tamqrah', 'Semered', '43336 Village Green Court', 'Seattle', 'WA', '98109', '2066571356');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('50', 'Idette', 'Argue', '599 Barnett Road', 'Austin', 'TX', '78759', '5128662279');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('51', 'Ev', 'Kitcherside', '62 Atwood Junction', 'Houston', 'TX', '77030', '8329824367');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('52', 'Terrye', 'Georger', '80 Roxbury Lane', 'Garland', 'TX', '75044', '4695802888');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('53', 'Jerry', 'Castanho', '41 Trailsway Street', 'Raleigh', 'NC', '27605', '9198447655');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('54', 'Paulita', 'Doerr', '03 Burrows Crossing', 'Wichita', 'KS', '67215', '3167136080');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('55', 'Susann', 'Spurritt', '9355 La Follette Point', 'Macon', 'GA', '31296', '4783292212');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('56', 'Gussi', 'Giraldez', '5 Swallow Way', 'Reading', 'PA', '19610', '4844156875');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('57', 'Jeannine', 'Farryn', '38 Summerview Junction', 'Gastonia', 'NC', '28055', '7047064015');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('58', 'Zolly', 'Cradduck', '12 Acker Hill', 'Inglewood', 'CA', '90398', '3108364499');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('59', 'Berni', 'Berget', '496 Dorton Parkway', 'Albany', 'NY', '12262', '5189594203');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('60', 'Sebastian', 'Westman', '76 Ridgeview Point', 'Bethesda', 'MD', '20892', '3014687245');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('61', 'Edin', 'Ace', '91 Mendota Court', 'Las Vegas', 'NV', '89150', '7027852841');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('62', 'Helene', 'Bycraft', '9 Autumn Leaf Court', 'Pocatello', 'ID', '83206', '2084457405');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('63', 'Gordan', 'Pitone', '53 Acker Alley', 'Providence', 'RI', '02912', '4013031778');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('64', 'Nico', 'Bladon', '0 Delaware Road', 'Minneapolis', 'MN', '55402', '9523399289');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('65', 'Dallas', 'Diamond', '234 Union Point', 'Richmond', 'VA', '23277', '8046154833');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('66', 'Pattie', 'Killcross', '15 Grasskamp Hill', 'Corpus Christi', 'TX', '78405', '3616901435');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('67', 'Maxi', 'Giacomuzzi', '9588 Grim Terrace', 'Tucson', 'AZ', '85710', '5207732130');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('68', 'Clare', 'Mallaby', '0 Dahle Court', 'Corpus Christi', 'TX', '78410', '3617762710');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('69', 'Sayres', 'Borlease', '555 Thompson Center', 'Rochester', 'NY', '14604', '5856133828');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('70', 'Gabe', 'Padilla', '6 Oneill Trail', 'Mc Keesport', 'PA', '15134', '4126463244');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('71', 'Chicky', 'Pringley', '1 Twin Pines Street', 'Las Vegas', 'NV', '89150', '7025580118');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('72', 'Martie', 'Hammerberg', '01 Vernon Avenue', 'Davenport', 'IA', '52809', '5633010663');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('73', 'Reagen', 'Kemer', '42268 Riverside Plaza', 'Beaumont', 'TX', '77713', '4096763439');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('74', 'Normy', 'Kerrey', '83579 Quincy Trail', 'Honolulu', 'HI', '96840', '8084424132');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('75', 'Alanna', 'Meryett', '12567 Oriole Plaza', 'Ocala', 'FL', '34479', '3523734355');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('76', 'Lexine', 'Vayro', '462 Birchwood Place', 'Des Moines', 'IA', '50347', '5158832216');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('77', 'Corene', 'Shevels', '024 Commercial Circle', 'Jacksonville', 'FL', '32220', '9048785920');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('78', 'Blondy', 'MacGillavery', '00794 Union Pass', 'Louisville', 'KY', '40287', '5021360703');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('79', 'Dur', 'Spurryer', '46270 Susan Crossing', 'Albuquerque', 'NM', '87110', '5057789590');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('80', 'Eduardo', 'Mears', '088 Morrow Place', 'Tampa', 'FL', '33680', '8137343112');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('81', 'Llewellyn', 'Skottle', '72 Sunbrook Road', 'Honolulu', 'HI', '96820', '8088068129');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('82', 'Mace', 'Robjant', '54 Monterey Plaza', 'Chicago', 'IL', '60669', '3124223821');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('83', 'Hamish', 'Lofthouse', '9 Ridgeway Parkway', 'Fairfield', 'CT', '06825', '2037079557');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('84', 'Tonya', 'Bader', '82 Reindahl Way', 'Austin', 'TX', '78710', '5128444683');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('85', 'Eustacia', 'Hallum', '59144 Farmco Trail', 'Houston', 'TX', '77250', '7139965577');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('86', 'Redford', 'Lenihan', '203 Macpherson Crossing', 'Columbus', 'OH', '43231', '6143456114');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('87', 'Herold', 'Maureen', '3 Granby Place', 'Lafayette', 'LA', '70505', '3372952640');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('88', 'Cortney', 'Payton', '4980 3rd Alley', 'Morgantown', 'WV', '26505', '3046106828');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('89', 'Ki', 'Gates', '0672 Claremont Pass', 'Alexandria', 'VA', '22301', '2028336692');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('90', 'Sharl', 'Littleproud', '1 Riverside Trail', 'Macon', 'GA', '31210', '4782634488');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('91', 'Cazzie', 'Christophle', '6954 Texas Alley', 'San Francisco', 'CA', '94116', '4155103818');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('92', 'Hedvige', 'Hubball', '400 Mallard Point', 'Pompano Beach', 'FL', '33064', '5617665528');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('93', 'Kerrin', 'Graundisson', '9 Washington Park', 'Grand Rapids', 'MI', '49505', '6168252636');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('94', 'Wernher', 'Sodory', '7 Hermina Parkway', 'Hayward', 'CA', '94544', '2094654085');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('95', 'Gaston', 'Thorby', '064 Maywood Road', 'Washington', 'DC', '20525', '2023931494');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('96', 'Ragnar', 'Cleugh', '525 West Junction', 'Chicago', 'IL', '60614', '3129378725');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('97', 'Whitaker', 'Haldon', '8 Chive Parkway', 'Detroit', 'MI', '48295', '3132827487');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('98', 'Melisse', 'Puddifer', '1130 Carioca Court', 'Omaha', 'NE', '68144', '4026346148');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('99', 'Findley', 'Haffard', '4 Vermont Point', 'Peoria', 'IL', '61629', '3094660368');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('100', 'Garvy', 'Denisard', '929 Oak Park', 'Peoria', 'IL', '61640', '3096145541');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('101', 'Isac', 'Davidek', '6 Utah Plaza', 'Las Vegas', 'NV', '89125', '7025129911');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('102', 'Shannah', 'Streader', '649 Magdeline Alley', 'Washington', 'DC', '20530', '2021045770');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('103', 'Nadeen', 'Phare', '02 Talmadge Center', 'Los Angeles', 'CA', '90189', '2139883015');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('104', 'Ashlin', 'Wrightham', '87405 Roxbury Crossing', 'Roanoke', 'VA', '24009', '5404634845');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('105', 'Melony', 'Courtin', '84156 Crownhardt Street', 'Louisville', 'KY', '40287', '5026245714');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('106', 'Margaret', 'Edling', '9 Boyd Pass', 'Midland', 'MI', '48670', '9893615417');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('107', 'Lorianna', 'Paling', '256 Old Gate Street', 'Des Moines', 'IA', '50347', '5156603645');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('108', 'Angelika', 'Ronan', '64 Steensland Point', 'Dallas', 'TX', '75241', '4697830146');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('109', 'Giulio', 'Brankley', '4257 Lindbergh Junction', 'Carlsbad', 'CA', '92013', '7604253143');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('110', 'Mel', 'Randerson', '10 Stang Way', 'Austin', 'TX', '78764', '5128838063');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('111', 'Kane', 'Hubbocks', '5 Reinke Pass', 'Paterson', 'NJ', '07505', '8629483221');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('112', 'Veronika', 'Orcas', '87562 Ryan Hill', 'Macon', 'GA', '31205', '4789847334');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('113', 'Cherye', 'Coatts', '0621 6th Junction', 'Denver', 'CO', '80255', '7207801969');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('114', 'Willard', 'Maulkin', '7 Corry Junction', 'Ventura', 'CA', '93005', '8059210921');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('115', 'Cyrill', 'Digger', '76 Jenifer Trail', 'Saint Paul', 'MN', '55108', '6124653728');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('116', 'Graehme', 'Eddis', '2724 Nobel Terrace', 'Grand Rapids', 'MI', '49505', '6161245890');
