,First Name,Last Name,Email,Phone Number,Department Id,Job Id,Salary,Commission Pct,Manager Id,Hire Date
186,Julia,Dellinger,JDELLING,650.509.3876,50,SH_CLERK,3400,,121,24-Jun-98
133,Jason,Mallin,JMALLIN,650.127.1934,50,ST_CLERK,3300,,122,14-Jun-96
129,Laura,Bissot,LBISSOT,650.124.5234,50,ST_CLERK,3300,,121,20-Aug-97
125,Julia,Nayer,JNAYER,650.124.1214,50,ST_CLERK,3200,,120,16-Jul-97
194,Samuel,McCain,SMCCAIN,650.501.3876,50,SH_CLERK,3200,,123,1-Jul-98
138,Stephen,Stiles,SSTILES,650.121.2034,50,ST_CLERK,3200,,123,26-Oct-97
180,Winston,Taylor,WTAYLOR,650.507.9876,50,SH_CLERK,3200,,120,24-Jan-98
196,Alana,Walsh,AWALSH,650.507.9811,50,SH_CLERK,3100,,124,24-Apr-98
115,Alexander,Khoo,AKHOO,515.127.4562,30,PU_CLERK,3100,,114,18-May-95
142,Curtis,Davies,CDAVIES,650.121.2994,50,ST_CLERK,3100,,124,29-Jan-97
181,Jean,Fleaur,JFLEAUR,650.507.9877,50,SH_CLERK,3100,,120,23-Feb-98
187,Anthony,Cabrio,ACABRIO,650.509.4876,50,SH_CLERK,3000,,121,7-Feb-99
197,Kevin,Feeney,KFEENEY,650.507.9822,50,SH_CLERK,3000,,124,23-May-98
134,Michael,Rogers,MROGERS,650.127.1834,50,ST_CLERK,2900,,122,26-Aug-98
116,Shelli,Baida,SBAIDA,515.127.4563,30,PU_CLERK,2900,,114,24-Dec-97
190,Timothy,Gates,TGATES,650.505.3876,50,SH_CLERK,2900,,122,11-Jul-98
183,Girard,Geoni,GGEONI,650.507.9879,50,SH_CLERK,2800,,120,3-Feb-00
130,Mozhe,Atkinson,MATKINSO,650.124.6234,50,ST_CLERK,2800,,121,30-Oct-97
117,Sigal,Tobias,STOBIAS,515.127.4564,30,PU_CLERK,2800,,114,24-Jul-97
195,Vance,Jones,VJONES,650.501.4876,50,SH_CLERK,2800,,123,17-Mar-99
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,50,ST_CLERK,2700,,120,28-Sep-98
139,John,Seo,JSEO,650.121.2019,50,ST_CLERK,2700,,123,12-Feb-98
198,Donald,OConnell,DOCONNEL,650.507.9833,50,SH_CLERK,2600,,124,21-Jun-99
199,Douglas,Grant,DGRANT,650.507.9844,50,SH_CLERK,2600,,124,13-Jan-00
118,Guy,Himuro,GHIMURO,515.127.4565,30,PU_CLERK,2600,,114,15-Nov-98
143,Randall,Matos,RMATOS,650.121.2874,50,ST_CLERK,2600,,124,15-Mar-98
131,James,Marlow,JAMRLOW,650.124.7234,50,ST_CLERK,2500,,121,16-Feb-97
140,Joshua,Patel,JPATEL,650.121.1834,50,ST_CLERK,2500,,123,6-Apr-98
119,Karen,Colmenares,KCOLMENA,515.127.4566,30,PU_CLERK,2500,,114,10-Aug-99
182,Martha,Sullivan,MSULLIVA,650.507.9878,50,SH_CLERK,2500,,120,21-Jun-99
144,Peter,Vargas,PVARGAS,650.121.2004,50,ST_CLERK,2500,,124,9-Jul-98
191,Randall,Perkins,RPERKINS,650.505.4876,50,SH_CLERK,2500,,122,19-Dec-99
127,James,Landry,JLANDRY,650.124.1334,50,ST_CLERK,2400,,120,14-Jan-99
135,Ki,Gee,KGEE,650.127.1734,50,ST_CLERK,2400,,122,12-Dec-99
136,Hazel,Philtanker,HPHILTAN,650.127.1634,50,ST_CLERK,2200,,122,6-Feb-00
128,Steven,Markle,SMARKLE,650.124.1434,50,ST_CLERK,2200,,120,8-Mar-00
132,TJ,Olson,TJOLSON,650.124.8234,50,ST_CLERK,2100,,121,10-Apr-99
